dataset,zero_index_left,zero_index_right,source,gbar_upper_hp,lehmer_margin_to_0_8_hp,gap,normalized_gap,mid_height_approx,naive_collision_t_minus_gap2_over_8,trunc_dgap_dt,linear_collision_t,ext_corrected_collision_t,radius,window_zero_count,pair_pos_in_window,pair_gap,mid_height,avg_spacing,pair_normalized_gap,window_min_gap,window_min_normalized_gap,G_window,gbar_window,E_raw_inverse_gap2,E_norm_inverse_gap2,dgap_dt0_finite_flow,naive_pair_collision_t,linearized_collision_t,finite_ode_threshold_t,finite_ode_final_gap,finite_ode_min_any_gap_final,finite_ode_status
around_1e12,1000000008625,1000000008626,hp_cert_top20,0.0014258627321561,0.7985741372678438,0.0055569682999703,0.0216462265659802,267653397863.137,-3.85998708585938e-06,719.371920868874,-7.724750075397e-06,-3.86157880768185e-06,80,162,80,0.005556968299970322,267653397863.13702,0.2567176446680917,0.02164622656598024,0.005556968299970322,0.02164622656598024,45.417990462427746,0.001402502853205245,38294.07987063397,2523.73109001031,719.564578916799,-3.859987085859381e-06,-7.72268183119233e-06,-3.860659994242403e-06,5.556968305823013e-06,5.556968305823013e-06,ok
first_100k,95248,95249,hp_cert_top20,0.0020096669441776,0.7979903330558223,0.0147014760004822,0.021860466055516,71732.90855861,-2.70166745740943e-05,271.872487992508,-5.40748941131821e-05,-2.70305202302899e-05,80,162,80,0.014701476000482216,71732.90855861,0.6725142987869949,0.021860466055515955,0.014701476000482216,0.021860466055515955,9.188879750548628,0.0019860237913684586,5445.365241009966,2462.805189441142,271.9464433878032,-2.7016674574094324e-05,-5.406018853321609e-05,-2.702335596824887e-05,1.4701475942899375e-05,1.4701475942899375e-05,ok
first_100k,87761,87762,hp_cert_top20,0.0037553488840485,0.7962446511159514,0.0194846280064667,0.0287462028379411,66678.085599627,-4.74563410687981e-05,205.026050898491,-9.50348890839904e-05,-4.74970636149346e-05,80,162,80,0.019484628006466664,66678.085599627,0.6778157141766774,0.02874620283794108,0.019484628006466664,0.02874620283794108,9.784057304384197,0.0037145244837881774,3388.1187933500523,1556.6174521207379,205.09942981220462,-4.745634106879814e-05,-9.500088822434754e-05,-4.747833829274006e-05,1.9484602188611664e-05,1.9484602188611664e-05,ok
first_100k,82552,82553,hp_cert_top20,0.0045577499996501,0.7954422500003498,0.0208495010010665,0.0305787712062527,63137.2219576375,-5.43377114991843e-05,191.562025015128,-0.0001088394268092,-5.43923588233742e-05,80,162,80,0.020849501001066528,63137.2219576375,0.6818292618901334,0.03057877120625268,0.020849501001066528,0.03057877120625268,10.37853842095032,0.0045115682120063835,2905.7835383908955,1350.8730286414502,191.6347806484356,-5.433771149918427e-05,-0.00010879810507527895,-5.4368317692288416e-05,2.0849501044664312e-05,2.0849501044664312e-05,ok
first_100k,44555,44556,top_normalized_gap,,,0.0295376279973425,0.0407462892486608,36510.181154115,-0.0001090589334636,135.159271499616,-0.0002185394140528,-0.0001091993813333,80,162,80,0.029537627997342497,36510.181154115,0.7249157786389909,0.04074628924866081,0.029537627997342497,0.04074628924866081,6.52936082144546,0.005696681019090718,1696.8187345815998,891.6831422447343,135.22766117840663,-0.00010905893346367392,-0.00021842889050911955,-0.00010913653841173767,2.9537630203507257e-05,2.9537630203507257e-05,ok
around_1e21,1000000000000000001635,1000000000000000001636,hp_cert_top20,0.0057798887728786,0.7942201112271213,0.0053001200000153,0.037604769672614,1.44176897509547e+20,-3.51140900182033e-06,753.271195889028,-7.03613788624961e-06,-3.51584685911878e-06,80,162,80,0.00530012000001534,1.44176897509547e+20,0.14094275928713387,0.037604769672613954,0.00530012000001534,0.037604769672613954,203.2484709647906,0.0057095080844158635,49753.615771084456,988.3486812161107,753.6229765694329,-3.5114090018203263e-06,-7.032853515350628e-06,-3.5139132598407508e-06,5.300123658953896e-06,5.300123658953896e-06,ok
first_100k,73997,73998,hp_cert_top20,0.005971349978877,0.7940286500211229,0.0258392800024012,0.0374961568953493,57273.674851345,-8.34585488803114e-05,154.502509885978,-0.0001672418138803,-8.35667349855205e-05,80,162,80,0.02583928000240121,57273.674851345,0.6891180894756203,0.0374961568953493,0.02583928000240121,0.0374961568953493,8.839601722049995,0.005901922659217553,2125.0401730090416,1009.1470276492048,154.57471879643265,-8.345854888031139e-05,-0.00016716368759130837,-8.352008115241344e-05,2.5839280002566903e-05,2.5839280002566903e-05,ok
around_1e12,1000000004240,1000000004241,hp_cert_top20,0.0065026615366694,0.7934973384633305,0.0113810798000031,0.0443330641053597,267653396737.472,-1.61911221767549e-05,350.705456095554,-3.24519610464864e-05,-1.62143485769786e-05,80,162,80,0.011381079800003135,267653396737.4725,0.2567176447122048,0.04433306410535971,0.011381079800003135,0.04433306410535971,49.449765002530285,0.006405177494142302,13022.917897515334,858.2617183370438,350.8978244588669,-1.6191122176754927e-05,-3.2434170310272905e-05,-1.620407960205216e-05,1.1381080137516731e-05,1.1381080137516731e-05,ok
first_100k,6709,6710,top_normalized_gap,,,0.0376984990007259,0.0420983999766036,7005.0817154245,-0.0001776471033634,105.867853686374,-0.0003560901415117,-0.0001779122664989,80,162,80,0.03769849900072586,7005.0817154245,0.8954853158713156,0.0420983999766036,0.03769849900072586,0.0420983999766036,4.816934046183318,0.006845715043178615,1114.6099236296766,893.7989554176146,105.92348699708725,-0.00017764710336346608,-0.00035590311525301766,-0.00017779907023795374,3.769851310719629e-05,3.769851310719629e-05,ok
first_100k,18859,18860,top_normalized_gap,,,0.0353073209989816,0.0444574507631549,17143.8041898445,-0.0001558258645156,112.920057239321,-0.0003126753728449,-0.0001561667993004,80,162,80,0.035307320998981595,17143.8041898445,0.794182311241367,0.044457450763154854,0.035307320998981595,0.044457450763154854,8.739507628102773,0.010894730652721217,1357.6819796130885,856.3247044762513,112.98258193386164,-0.00015582586451564083,-0.0003125023379236455,-0.0001560382073558064,3.530732125158876e-05,3.530732125158876e-05,ok
around_1e21,1000000000000000006362,1000000000000000006363,hp_cert_top20,0.0127810388140078,0.7872189611859921,0.009248750000097,0.0656206111394141,1.44176897509547e+20,-1.06924220705369e-05,430.780817021394,-2.14697350361303e-05,-1.07206909975578e-05,80,162,80,0.009248750000097061,1.44176897509547e+20,0.14094275928713387,0.06562061113941413,0.009248750000097061,0.06562061113941413,146.919309886511,0.01256738617294867,33920.16159934714,673.8193086830076,431.1324468329934,-1.0692422070536924e-05,-2.1452224410471533e-05,-1.0709234514596844e-05,9.248740453975952e-06,9.248740453975952e-06,ok
around_1e12,1000000008732,1000000008733,hp_cert_top20,0.0167779772059082,0.7832220227940917,0.0147160977003296,0.0573240601339176,267653397890.662,-2.70704414407056e-05,270.48949109157,-5.44054323180623e-05,-2.71585170736694e-05,80,162,80,0.014716097700329556,267653397890.6625,0.2567176446670131,0.05732406013391763,0.014716097700329556,0.05732406013391763,76.71681242505868,0.016614063826161176,11037.212259377346,727.3958747644488,270.6831560348881,-2.7070441440705604e-05,-5.4366507010997064e-05,-2.712674946637956e-05,1.4716141996025574e-05,1.4716141996025574e-05,ok
