dataset,zero_index_left,zero_index_right,source,gbar_upper_hp,lehmer_margin_to_0_8_hp,gap,normalized_gap,mid_height_approx,naive_collision_t_minus_gap2_over_8,trunc_dgap_dt,linear_collision_t,ext_corrected_collision_t,radius,window_zero_count,pair_pos_in_window,pair_gap,mid_height,avg_spacing,pair_normalized_gap,window_min_gap,window_min_normalized_gap,G_window,gbar_window,E_raw_inverse_gap2,E_norm_inverse_gap2,dgap_dt0_finite_flow,naive_pair_collision_t,linearized_collision_t,finite_ode_threshold_t,finite_ode_final_gap,finite_ode_min_any_gap_final,finite_ode_status
around_1e12,1000000008625,1000000008626,hp_cert_top20,0.0014258627321561,0.7985741372678438,0.0055569682999703,0.0216462265659802,267653397863.137,-3.85998708585938e-06,719.371920868874,-7.724750075397e-06,-3.86157880768185e-06,5,12,5,0.005556968299970322,267653397863.13702,0.2567176446680917,0.02164622656598024,0.005556968299970322,0.02164622656598024,35.924921398781365,0.0011093578612784752,32593.721339367396,2148.0549516055557,719.6173314715227,-3.859987085859381e-06,-7.722115709202075e-06,-3.860518548766181e-06,5.556968301129454e-06,5.556968301129454e-06,ok
around_1e12,1000000008625,1000000008626,hp_cert_top20,0.0014258627321561,0.7985741372678438,0.0055569682999703,0.0216462265659802,267653397863.137,-3.85998708585938e-06,719.371920868874,-7.724750075397e-06,-3.86157880768185e-06,10,22,10,0.005556968299970322,267653397863.13702,0.2567176446680917,0.02164622656598024,0.005556968299970322,0.02164622656598024,40.6594230744245,0.001255558783886172,32944.90730204715,2171.199493408994,719.5910221055219,-3.859987085859381e-06,-7.722398041752443e-06,-3.860589104101221e-06,5.556968649900889e-06,5.556968649900889e-06,ok
around_1e12,1000000008625,1000000008626,hp_cert_top20,0.0014258627321561,0.7985741372678438,0.0055569682999703,0.0216462265659802,267653397863.137,-3.85998708585938e-06,719.371920868874,-7.724750075397e-06,-3.86157880768185e-06,20,42,20,0.005556968299970322,267653397863.13702,0.2567176446680917,0.02164622656598024,0.005556968299970322,0.02164622656598024,43.273136716756355,0.0013362699911304554,33512.6030460386,2208.612884816172,719.5764977982483,-3.859987085859381e-06,-7.722553914661566e-06,-3.8606280533848655e-06,5.556968484675046e-06,5.556968484675046e-06,ok
around_1e12,1000000008625,1000000008626,hp_cert_top20,0.0014258627321561,0.7985741372678438,0.0055569682999703,0.0216462265659802,267653397863.137,-3.85998708585938e-06,719.371920868874,-7.724750075397e-06,-3.86157880768185e-06,40,82,40,0.005556968299970322,267653397863.13702,0.2567176446680917,0.02164622656598024,0.005556968299970322,0.02164622656598024,44.687615937054176,0.0013799489633189838,34958.60117929472,2303.9098721657447,719.5686375845514,-3.859987085859381e-06,-7.722638272040257e-06,-3.860649134586794e-06,5.5569683010211635e-06,5.5569683010211635e-06,ok
around_1e12,1000000008625,1000000008626,hp_cert_top20,0.0014258627321561,0.7985741372678438,0.0055569682999703,0.0216462265659802,267653397863.137,-3.85998708585938e-06,719.371920868874,-7.724750075397e-06,-3.86157880768185e-06,80,162,80,0.005556968299970322,267653397863.13702,0.2567176446680917,0.02164622656598024,0.005556968299970322,0.02164622656598024,45.417990462427746,0.001402502853205245,38294.07987063397,2523.73109001031,719.564578916799,-3.859987085859381e-06,-7.72268183119233e-06,-3.860659994242403e-06,5.556968305823013e-06,5.556968305823013e-06,ok
first_100k,95248,95249,hp_cert_top20,0.0020096669441776,0.7979903330558223,0.0147014760004822,0.021860466055516,71732.90855861,-2.70166745740943e-05,271.872487992508,-5.40748941131821e-05,-2.70305202302899e-05,5,12,5,0.014701476000482216,71732.90855861,0.6725142987869949,0.021860466055515955,0.014701476000482216,0.021860466055515955,7.840867906381513,0.001694673412841357,4663.112907480868,2109.0116381915677,271.9662611057138,-2.7016674574094324e-05,-5.405624925941724e-05,-2.7022371764949388e-05,1.4701475907876582e-05,1.4701475907876582e-05,ok
first_100k,95248,95249,hp_cert_top20,0.0020096669441776,0.7979903330558223,0.0147014760004822,0.021860466055516,71732.90855861,-2.70166745740943e-05,271.872487992508,-5.40748941131821e-05,-2.70305202302899e-05,10,22,10,0.014701476000482216,71732.90855861,0.6725142987869949,0.021860466055515955,0.014701476000482216,0.021860466055515955,8.49106207021568,0.0018352020859156214,4694.1919943694365,2123.067947196483,271.9567023297725,-2.7016674574094324e-05,-5.4058149236768305e-05,-2.7022846546274974e-05,1.4701476006709764e-05,1.4701476006709764e-05,ok
first_100k,95248,95249,hp_cert_top20,0.0020096669441776,0.7979903330558223,0.0147014760004822,0.021860466055516,71732.90855861,-2.70166745740943e-05,271.872487992508,-5.40748941131821e-05,-2.70305202302899e-05,20,42,20,0.014701476000482216,71732.90855861,0.6725142987869949,0.021860466055515955,0.014701476000482216,0.021860466055515955,8.878311038520938,0.0019188995207624767,4901.482150861512,2216.820202652916,271.95100920519184,-2.7016674574094324e-05,-5.405928091037049e-05,-2.7023129315519e-05,1.4701476009763169e-05,1.4701476009763169e-05,ok
first_100k,95248,95249,hp_cert_top20,0.0020096669441776,0.7979903330558223,0.0147014760004822,0.021860466055516,71732.90855861,-2.70166745740943e-05,271.872487992508,-5.40748941131821e-05,-2.70305202302899e-05,40,82,40,0.014701476000482216,71732.90855861,0.6725142987869949,0.021860466055515955,0.014701476000482216,0.021860466055515955,9.082196074684092,0.001962965886142856,5027.727537386904,2273.917895703176,271.94801179517214,-2.7016674574094324e-05,-5.40598767515726e-05,-2.7023278171457855e-05,1.4701475851761949e-05,1.4701475851761949e-05,ok
first_100k,95248,95249,hp_cert_top20,0.0020096669441776,0.7979903330558223,0.0147014760004822,0.021860466055516,71732.90855861,-2.70166745740943e-05,271.872487992508,-5.40748941131821e-05,-2.70305202302899e-05,80,162,80,0.014701476000482216,71732.90855861,0.6725142987869949,0.021860466055515955,0.014701476000482216,0.021860466055515955,9.188879750548628,0.0019860237913684586,5445.365241009966,2462.805189441142,271.9464433878032,-2.7016674574094324e-05,-5.406018853321609e-05,-2.702335596824887e-05,1.4701475942899375e-05,1.4701475942899375e-05,ok
