dataset,zero_index_pair,q_geometric,side,A,B,distance_near,distance_far,count_upper_raw,count_upper,known_endpoint_excluded,fmax,G_bound
around_1e12,1000000008625/1000000008626,1.25,left,267653397482.485857,267653397558.615579,304.518886341247708,380.648607926559635,312.0,312.0,False,0.0000215671920153577437,0.00672896390879161605
around_1e12,1000000008625/1000000008626,1.25,left,267653397387.323705,267653397482.485857,380.648607926559635,475.810759908199543,386.0,386.0,False,0.0000138030532646815484,0.0053279785601670777
around_1e12,1000000008625/1000000008626,1.25,left,267653397268.371015,267653397387.323705,475.810759908199543,594.763449885249429,479.0,479.0,False,8.83397988157487225e-6,0.00423147636327436381
around_1e12,1000000008625/1000000008626,1.25,left,267653397119.680153,267653397268.371015,594.763449885249429,743.454312356561786,594.0,594.0,False,5.65376032990750572e-6,0.0033583336359650584
around_1e12,1000000008625/1000000008626,1.25,left,267653396933.816575,267653397119.680153,743.454312356561786,929.317890445702233,739.0,739.0,False,3.61841337250163332e-6,0.00267400748227870702
around_1e12,1000000008625/1000000008626,1.25,left,267653396701.487102,267653396933.816575,929.317890445702233,1161.64736305712779,920.0,920.0,False,2.31578802023525594e-6,0.00213052497861643546
around_1e12,1000000008625/1000000008626,1.25,left,267653396411.075261,267653396701.487102,1161.64736305712779,1452.05920382140974,1146.0,1146.0,False,1.48210610541683368e-6,0.0016984935968076914
around_1e12,1000000008625/1000000008626,1.25,left,267653396048.06046,267653396411.075261,1452.05920382140974,1815.07400477676217,1429.0,1429.0,False,9.48548814972434047e-7,0.00135547625659560825
around_1e12,1000000008625/1000000008626,1.25,left,267653395594.291959,267653396048.06046,1815.07400477676217,2268.84250597095272,1783.0,1783.0,False,6.07071706226456222e-7,0.00108240885220177144
around_1e12,1000000008625/1000000008626,1.25,left,267653395027.081333,267653395594.291959,2268.84250597095272,2836.0531324636909,2225.0,2225.0,False,3.88526129883202008e-7,0.000864470638990124467
around_1e12,1000000008625/1000000008626,1.25,left,267653394318.06805,267653395027.081333,2836.0531324636909,3545.06641557961362,2777.0,2777.0,False,2.48656844929364909e-7,0.000690520058368846354
around_1e12,1000000008625/1000000008626,1.25,left,267653393431.801446,267653394318.06805,3545.06641557961362,4431.33301947451702,3468.0,3468.0,False,1.59140443118583224e-7,0.00055189905673524662
around_1e12,1000000008625/1000000008626,1.25,left,267653392323.968191,267653393431.801446,4431.33301947451702,5539.16627434314628,4331.0,4331.0,False,1.01849915526187365e-7,0.000441111984143917477
