dataset,base_height,zero_index_left,zero_index_right,offset_left,offset_right,height_left_approx,height_right_approx,gap,mid_height_approx,avg_spacing,normalized_gap,naive_collision_t_minus_gap2_over_8,trunc_radius,trunc_dgap_dt,linear_collision_t,external_dgap_dt,ext_corrected_collision_t,edge_ok_for_trunc
around_1e12,267653395647,1000000004737,1000000004738,1217.9181016516,1217.9514570596,267653396864.918,267653396864.951,0.033355408000034,267653396864.935,0.25671764470721,0.129930328856345,-0.000139072905356092,80,117.533317177174,-0.000283795342470873,-2.38726661529256,-0.000140946597026859,True
around_1e12,267653395647,1000000007864,1000000007865,2020.7447834734,2020.7781965916,267653397667.745,267653397667.778,0.03341311819986,267653397667.762,0.256717644675748,0.130155129157807,-0.000139554558479727,80,117.150300698475,-0.000285215812513018,-2.56315962791682,-0.000141579085899003,True
around_1e12,267653395647,1000000004641,1000000004642,1193.442846522,1193.4763325698,267653396840.443,267653396840.476,0.0334860477998973,267653396840.46,0.256717644708169,0.130439214016487,-0.000140164424657126,80,111.204410894208,-0.000301121578997019,-8.24832428382221,-0.000146970490998041,True
around_1e12,267653395647,1000000003438,1000000003439,884.5064403067,884.5399869004,267653396531.506,267653396531.54,0.0335465936999526,267653396531.523,0.256717644720276,0.130675060284639,-0.000140671743608713,80,114.697253948459,-0.000292479484426256,-4.5398893447407,-0.000144347581357313,True
around_1e12,267653395647,1000000008930,1000000008931,2294.3479289785,2294.3817414561,267653397941.348,267653397941.382,0.0338124775998949,267653397941.365,0.256717644665026,0.131710765903974,-0.000142910455180424,80,115.411876082586,-0.000292972255088372,-2.88764775983246,-0.000145279473371065,True
around_1e12,267653395647,1000000003713,1000000003714,955.1004410593,955.1343012072,267653396602.1,267653396602.134,0.0338601478999863,267653396602.117,0.256717644717509,0.131896457437687,-0.000143313701976118,80,114.512847078266,-0.000295688638994749,-3.62012776327714,-0.00014631053954299,True
around_1e12,267653395647,1000000004401,1000000004402,1131.7001271266,1131.7349384526,267653396778.7,267653396778.735,0.034811326000181,267653396778.718,0.256717644710588,0.135601610241578,-0.00015147855223636,80,112.400070486768,-0.000309709111830842,-2.50506125050634,-0.000153716791748698,True
around_1e12,267653395647,1000000000663,1000000000664,171.9673471335,172.0023191985,267653395818.967,267653395819.002,0.0349720650000052,267653395818.985,0.256717644748199,0.136227741705512,-0.000152880666295573,80,111.811205702379,-0.000312777818469236,-2.56579777166249,-0.00015520619906716,True
around_1e12,267653395647,1000000001951,1000000001952,502.8025261525,502.83778155,267653396149.803,267653396149.838,0.0352553975000092,267653396149.82,0.256717644735234,0.137331415362469,-0.000155367881610457,80,111.073999015999,-0.000317404593445232,-2.38380556552556,-0.000157578999440632,True
around_1e12,267653395647,1000000007770,1000000007771,1996.5068681399,1996.5424433059,267653397643.507,267653397643.542,0.0355751659999441,267653397643.525,0.256717644676698,0.138577019295835,-0.000158199054490448,80,111.037186106364,-0.000320389657261903,-1.40079942562977,-0.000159525395316243,True
around_1e21,1.44176897509547e+20,1000000000000000001635,1000000000000000001636,768.84042876,768.84572888,1.44176897509547e+20,1.44176897509547e+20,0.00530012000001534,1.44176897509547e+20,0.140942759287134,0.037604769672614,-3.51140900182033e-06,80,753.271195889028,-7.03613788624961e-06,-1.4286976961024,-3.51584685911878e-06,True
around_1e21,1.44176897509547e+20,1000000000000000006362,1000000000000000006363,1435.14787155,1435.1571203,1.44176897509547e+20,1.44176897509547e+20,0.00924875000009706,1.44176897509547e+20,0.140942759287134,0.0656206111394141,-1.06924220705369e-05,80,430.780817021394,-2.14697350361303e-05,-1.71006011962731,-1.07206909975578e-05,True
around_1e21,1.44176897509547e+20,1000000000000000009531,1000000000000000009532,1881.74612218,1881.75711745,1.44176897509547e+20,1.44176897509547e+20,0.0109952699999667,1.44176897509547e+20,0.140942759287134,0.0780123083695752,-1.51119952965209e-05,80,359.409126839793,-3.05926287867137e-05,-4.38366769932378,-1.52345018252143e-05,True
around_1e21,1.44176897509547e+20,1000000000000000006311,1000000000000000006312,1427.93527556,1427.94739117,1.44176897509547e+20,1.44176897509547e+20,0.0121156099999098,1.44176897509547e+20,0.140942759287134,0.0859612090836637,-1.83485007087393e-05,80,326.519596184713,-3.71053074347671e-05,-3.63299209022955,-1.84842258082793e-05,True
