dataset,zero_index_left,zero_index_right,gap_delta,normalized_gap,G_sum_truncated,gbar_delta2_G,gbar_ratio_to_0_8,lambda_lower_truncated,naive_minus_delta2_over_8
around_1e21,1000000000000000001635,1000000000000000001636,0.0053001200000153,0.0376047696726139,205.65994131759143,0.0057772493540514,0.0072215616925643,-3.5139521416556104e-06,-3.5114090018203263e-06
around_1e12,1000000008625,1000000008626,0.0055569682999703,0.0216462265659802,46.14189102471197,0.0014248568277801,0.0017810710347251,-3.8606750672474535e-06,-3.859987085859381e-06
around_1e21,1000000000000000006362,1000000000000000006363,0.009248750000097,0.0656206111394141,149.36214237597432,0.0127763445411483,0.0159704306764354,-1.0709608383250174e-05,-1.0692422070536924e-05
around_1e21,1000000000000000009531,1000000000000000009532,0.0109952699999666,0.0780123083695751,370.1799033299631,0.0447532556639118,0.0559415695798898,-1.5198486237460908e-05,-1.5111995296520947e-05
around_1e12,1000000004240,1000000004241,0.0113810798000031,0.0443330641053597,50.18674526622396,0.0065006377940728,0.008125797242591,-1.6204321709537342e-05,-1.6191122176754927e-05
around_1e21,1000000000000000006311,1000000000000000006312,0.0121156099999097,0.0859612090836636,273.5324327650704,0.0401512802916245,0.0501891003645307,-1.844249167035353e-05,-1.8348500708739276e-05
around_1e21,1000000000000000005530,1000000000000000005531,0.0122708500000499,0.0870626491358188,232.66094152106885,0.0350326327056889,0.0437907908821112,-1.890562126955772e-05,-1.8821719965465597e-05
around_1e21,1000000000000000002570,1000000000000000002571,0.0123513600000251,0.0876338739392952,294.18611141471223,0.0448798840224143,0.0560998550280178,-1.917896887284309e-05,-1.9069511731277585e-05
around_1e21,1000000000000000006466,1000000000000000006467,0.0128145399999084,0.0909201725914999,331.43812149403647,0.0544262611180038,0.0680328263975047,-2.067015133577364e-05,-2.05265544261567e-05
around_1e21,1000000000000000003084,1000000000000000003085,0.0133826100000078,0.0949506740728999,266.3091403950709,0.0476944358770018,0.0596180448462522,-2.2523538217430355e-05,-2.2386781301538744e-05
around_1e21,1000000000000000006674,1000000000000000006675,0.0134442200001103,0.0953878018857378,236.60387655328364,0.0427654530395052,0.0534568162993815,-2.2716819621485544e-05,-2.2593381426420937e-05
around_1e21,1000000000000000009234,1000000000000000009235,0.0140321799999583,0.0995594244850239,305.6564903608544,0.0601843973577568,0.075230496697196,-2.480373668732073e-05,-2.4612759443903768e-05
around_1e21,1000000000000000005629,1000000000000000005630,0.0140992400001778,0.1000352204787924,245.53041733552257,0.0488086402056203,0.0610108002570254,-2.5004003178375623e-05,-2.4848571072826763e-05
around_1e21,1000000000000000006622,1000000000000000006623,0.0143932700000277,0.1021213865318562,186.28735223535784,0.0385924468374074,0.0482405585467593,-2.6023176876303454e-05,-2.5895777661712425e-05
around_1e21,1000000000000000002984,1000000000000000002985,0.0145378199999868,0.1031469801890981,230.61753439315083,0.0487406031697871,0.0609257539622339,-2.6583542520773605e-05,-2.641852629400211e-05
first_100k,95248,95249,0.0147014760004822,0.0218604660555159,9.297077201856855,0.0020094088740223,0.0025117610925279,-2.7023467344599145e-05,-2.7016674574094324e-05
around_1e12,1000000008732,1000000008733,0.0147160977003295,0.0573240601339176,77.43874124287116,0.0167704072804567,0.0209630091005709,-2.712767063451205e-05,-2.7070441440705604e-05
around_1e21,1000000000000000003841,1000000000000000003842,0.0148211600001104,0.105157299850475,217.5778420025399,0.0477946247677187,0.0597432809596483,-2.7626447342487254e-05,-2.7458347968609317e-05
around_1e21,1000000000000000007393,1000000000000000007394,0.0154590499998903,0.1096831797396316,203.0409510174036,0.0485231786258521,0.0606539732823151,-3.0058517190134272e-05,-2.987277836238869e-05
around_1e21,1000000000000000001925,1000000000000000001926,0.0157577400000263,0.111802408862481,271.3895532739159,0.0673877548045169,0.0842346935056462,-3.130898715613526e-05,-3.1038296238553954e-05
around_1e21,1000000000000000002231,1000000000000000002232,0.0161948900000652,0.1149040226115653,224.95865734064327,0.0590009108519528,0.073751138564941,-3.303353235651853e-05,-3.2784307764276645e-05
around_1e21,1000000000000000008427,1000000000000000008428,0.016370919999872,0.1161529693520516,233.94777379175895,0.062699646073755,0.0783745575921937,-3.3772044264604814e-05,-3.3500877705276366e-05
around_1e21,1000000000000000006620,1000000000000000006621,0.0164880499999071,0.1169840159459138,203.6925940524929,0.0553750116435146,0.0692187645543933,-3.4223965237126976e-05,-3.398197409992982e-05
around_1e21,1000000000000000007735,1000000000000000007736,0.0165329599999495,0.1173026559404017,201.02153359976955,0.0549469780059424,0.068683722507428,-3.4408721962252405e-05,-3.4167345794991376e-05
around_1e21,1000000000000000002263,1000000000000000002264,0.0167125099999339,0.1185765773599376,475.9935683743933,0.132948807072572,0.1661860088407151,-3.55362317416924e-05,-3.4913498812236324e-05
