dataset,zero_index_left,zero_index_right,q_geometric,a_height,b_height,window_L,window_U,distance_left_edge,distance_right_edge,gap_delta,G_local,gbar_local,left_tail_G_bound,right_tail_G_bound,total_tail_G_bound,G_total_upper_style,gbar_upper_style,lehmer_margin_to_0_8,still_below_0_8,tail_over_local_G,left_bins,right_bins,biggest_bin_G,biggest_bin_side,biggest_bin_A,biggest_bin_B
around_1e12,1000000008625,1000000008626,1.25,267653397863.13446,267653397863.14,267653395648.84753,267653398216.04626,2214.2869262695312,352.90625,0.0055569682999703,46.14189102471197,0.0014248568277801,0.004412371437468744,0.0281623590763568,0.03257473051382555,46.17446575522579,0.0014258627320930112,0.798574137267907,True,0.0007059686933155746,84,168,0.005723305733085575,right,267653398216.04626,267653398304.27283
around_1e12,1000000008625,1000000008626,1.5,267653397863.13446,267653397863.14,267653395648.84753,267653398216.04626,2214.2869262695312,352.90625,0.0055569682999703,46.14189102471197,0.0014248568277801,0.005286881697274036,0.03348130020602143,0.038768181903295465,46.18065920661526,0.0014260539852320533,0.7985739460147679,True,0.0008401949084083397,46,96,0.011242148111972234,right,267653398216.04626,267653398392.4994
around_1e12,1000000008625,1000000008626,2.0,267653397863.13446,267653397863.14,267653395648.84753,267653398216.04626,2214.2869262695312,352.90625,0.0055569682999703,46.14189102471197,0.0014248568277801,0.007043634617584514,0.044423593981091025,0.051467228598675537,46.19335825331064,0.0014264461304820284,0.798573553869518,True,0.0011154122090729118,27,59,0.022279832869745553,right,267653398216.04626,267653398568.9525
around_1e12,1000000008625,1000000008626,4.0,267653397863.13446,267653397863.14,267653395648.84753,267653398216.04626,2214.2869262695312,352.90625,0.0055569682999703,46.14189102471197,0.0014248568277801,0.014078954777124194,0.08851986953723097,0.10259882431435516,46.24448984902632,0.0014280250688751637,0.7985719749311249,True,0.0022235504881975223,14,32,0.06643058562268535,right,267653398216.04626,267653399274.765
first_100k,95248,95249,1.25,71732.901207872,71732.915909348,14.134725142,74920.827498994,71718.76648273,3187.911589645999,0.0147014760004822,9.297077201856856,0.0020094088740223,1.3988137555351725e-09,0.0011940310419147225,0.001194032440728478,9.298271234297586,0.0020096669443094377,0.7979903330556906,True,0.00012843094822209287,1,158,0.00023618228759365658,right,74920.827498994,75717.8053964055
first_100k,95248,95249,1.5,71732.901207872,71732.915909348,14.134725142,74920.827498994,71718.76648273,3187.911589645999,0.0147014760004822,9.297077201856856,0.0020094088740223,1.3988137555351725e-09,0.0014305591435098016,0.0014305605423235571,9.29850776239918,0.0020097180659314246,0.7979902819340686,True,0.0001538720730465526,1,90,0.00047088003155673007,right,74920.827498994,76514.78329381699
first_100k,95248,95249,2.0,71732.901207872,71732.915909348,14.134725142,74920.827498994,71718.76648273,3187.911589645999,0.0147014760004822,9.297077201856856,0.0020094088740223,1.3988137555351725e-09,0.0019070549596404331,0.0019070563584541887,9.298984258215311,0.0020098210525906273,0.7979901789474094,True,0.00020512428982232204,1,55,0.0009410528612646882,right,74920.827498994,78108.73908864
first_100k,95248,95249,4.0,71732.901207872,71732.915909348,14.134725142,74920.827498994,71718.76648273,3187.911589645999,0.0147014760004822,9.297077201856856,0.0020094088740223,1.3988137555351725e-09,0.0038259208038075028,0.003825922202621258,9.300903124059477,0.002010235783583133,0.7979897642164169,True,0.0004115188160271625,1,30,0.002831732929276817,right,74920.827498994,84484.562267932
first_100k,87761,87762,1.25,66678.075857313,66678.09534194099,14.134725142,74920.827498994,66663.941132171,8242.732157053004,0.0194846280064666,9.89112168092216,0.0037551715523426,1.6189875482644726e-09,0.00046709665121947983,0.0004670982702070281,9.891588779192366,0.003755348886541171,0.7962446511134589,True,4.722399392861175e-05,1,154,9.10106906336599e-05,right,74920.827498994,76981.51053825725
first_100k,87761,87762,1.5,66678.075857313,66678.09534194099,14.134725142,74920.827498994,66663.941132171,8242.732157053004,0.0194846280064666,9.89112168092216,0.0037551715523426,1.6189875482644726e-09,0.0005604178841880748,0.0005604195031756231,9.891682100425335,0.003755384316015257,0.7962446156839847,True,5.665884226826887e-05,1,88,0.00018201848119275932,right,74920.827498994,79042.19357752049
