dataset,zero_index_left,zero_index_right,q_geometric,base_height_exact,offset_left,offset_right,window_L_offset,window_U_offset,gap_delta_offset_hp,distance_left_edge_offset_hp,distance_right_edge_offset_hp,G_local_input,gbar_local_recomputed_hp,left_tail_G_bound_hp,right_tail_G_bound_hp,total_tail_G_bound_hp,G_total_upper_hp,gbar_upper_hp,lehmer_margin_to_0_8_hp,still_below_0_8,tail_over_local_G_hp,left_bins,right_bins,biggest_bin_G_hp,biggest_bin_side,biggest_bin_A_abs,biggest_bin_B_abs,source_accuracy_note
around_1e12,1000000008625,1000000008626,1.25,267653395647,2216.13446508750000,2216.14002205580000,1.84752312780000000,2569.04627089950000,0.00555696830000000000,2214.28694195970000,352.906248843700000,46.1418910247119700,0.00142485682779537221,0.00441237145099223863,0.0281623606130630036,0.0325747320640552423,46.1744657567760252,0.00142586273215612362,0.798574137267843876,True,0.000705968726912587182,84,399,0.00572330444991935605,right,267653398216.046271,267653398304.272833,see Odlyzko table accuracy note
around_1e12,1000000008625,1000000008626,1.5,267653395647,2216.13446508750000,2216.14002205580000,1.84752312780000000,2569.04627089950000,0.00555696830000000000,2214.28694195970000,352.906248843700000,46.1418910247119700,0.00142485682779537221,0.00528688166164186278,0.0334813015528305173,0.0387681832144723800,46.1806592079264424,0.00142605398528778575,0.798573946014712214,True,0.000840194936824533437,46,223,0.0112421481941841370,right,267653398216.046271,267653398392.499395,see Odlyzko table accuracy note
around_1e12,1000000008625,1000000008626,2.0,267653395647,2216.13446508750000,2216.14002205580000,1.84752312780000000,2569.04627089950000,0.00555696830000000000,2214.28694195970000,352.906248843700000,46.1418910247119700,0.00142485682779537221,0.00704363454684246558,0.0444235966270025227,0.0514672311738449883,46.1933582558858150,0.00142644613057679703,0.798573553869423203,True,0.00111541226488270613,27,133,0.0222798356829366818,right,267653398216.046271,267653398568.952520,see Odlyzko table accuracy note
around_1e12,1000000008625,1000000008626,4.0,267653395647,2216.13446508750000,2216.14002205580000,1.84752312780000000,2569.04627089950000,0.00555696830000000000,2214.28694195970000,352.906248843700000,46.1418910247119700,0.00142485682779537221,0.0140789545952321305,0.0885198697017935655,0.102598824297025696,46.2444898490089957,0.00142802506888989305,0.798571974931110107,True,0.00222355048782195301,14,69,0.0664305856409199682,right,267653398216.046271,267653399274.765017,see Odlyzko table accuracy note
first_100k,95248,95249,1.25,0,71732.9012078720000,71732.9159093480000,14.1347251420000000,74920.8274989940000,0.0147014760000000000,71718.7664827300000,3187.91158964600000,9.29707720185685600,0.00200940887389056553,1.39881375553550651e-9,0.00119403104191472740,0.00119403244072848293,9.29827123429758448,0.00200966694417760519,0.797990333055822395,True,0.000128430948222093408,1,389,0.000236182287593658096,right,74920.8274989940000,75717.8053964055000,see Odlyzko table accuracy note
first_100k,95248,95249,1.5,0,71732.9012078720000,71732.9159093480000,14.1347251420000000,74920.8274989940000,0.0147014760000000000,71718.7664827300000,3187.91158964600000,9.29707720185685600,0.00200940887389056553,1.39881375553550651e-9,0.00143055914350980316,0.00143056054232355870,9.29850776239917956,0.00200971806579958921,0.797990281934200411,True,0.000153872073046552783,1,217,0.000470880031556734451,right,74920.8274989940000,76514.7832938170000,see Odlyzko table accuracy note
first_100k,95248,95249,2.0,0,71732.9012078720000,71732.9159093480000,14.1347251420000000,74920.8274989940000,0.0147014760000000000,71718.7664827300000,3187.91158964600000,9.29707720185685600,0.00200940887389056553,1.39881375553550651e-9,0.00190705495964043004,0.00190705635845418557,9.29898425821531019,0.00200982105245878501,0.797990178947541215,True,0.000205124289822321719,1,130,0.000941052861264686618,right,74920.8274989940000,78108.7390886400000,see Odlyzko table accuracy note
first_100k,95248,95249,4.0,0,71732.9012078720000,71732.9159093480000,14.1347251420000000,74920.8274989940000,0.0147014760000000000,71718.7664827300000,3187.91158964600000,9.29707720185685600,0.00200940887389056553,1.39881375553550651e-9,0.00382592080380749930,0.00382592220262125484,9.30090312405947725,0.00201023578345126345,0.797989764216548737,True,0.000411518816027162134,1,67,0.00283173292927681294,right,74920.8274989940000,84484.5622679320000,see Odlyzko table accuracy note
first_100k,87761,87762,1.25,0,66678.0758573130000,66678.0953419410000,14.1347251420000000,74920.8274989940000,0.0194846280000000000,66663.9411321710000,8242.73215705300000,9.89112168092216000,0.00375517154985003421,1.61898754826485882e-9,0.000467096651219481876,0.000467098270207030141,9.89158877919236703,0.00375534888404850522,0.796244651115951495,True,0.0000472239939286119532,1,385,0.0000910106906336600718,right,74920.8274989940000,76981.5105382572500,see Odlyzko table accuracy note
first_100k,87761,87762,1.5,0,66678.0758573130000,66678.0953419410000,14.1347251420000000,74920.8274989940000,0.0194846280000000000,66663.9411321710000,8242.73215705300000,9.89112168092216000,0.00375517154985003421,1.61898754826485882e-9,0.000560417884188075809,0.000560419503175624074,9.89168210042533562,0.00375538431352256745,0.796244615686477433,True,0.0000566588422682689670,1,215,0.000182018481192759552,right,74920.8274989940000,79042.1935775205000,see Odlyzko table accuracy note
first_100k,87761,87762,2.0,0,66678.0758573130000,66678.0953419410000,14.1347251420000000,74920.8274989940000,0.0194846280000000000,66663.9411321710000,8242.73215705300000,9.89112168092216000,0.00375517154985003421,1.61898754826485882e-9,0.000748075168697035050,0.000748076787684583315,9.89186975770984458,0.00375545555774730177,0.796244544442252698,True,0.0000756311378847418349,1,128,0.000364782819744612415,right,74920.8274989940000,83163.5596560470000,see Odlyzko table accuracy note
first_100k,87761,87762,4.0,0,66678.0758573130000,66678.0953419410000,14.1347251420000000,74920.8274989940000,0.0194846280000000000,66663.9411321710000,8242.73215705300000,9.89112168092216000,0.00375517154985003421,1.61898754826485882e-9,0.00150657217436329825,0.00150657379335084652,9.89262825471551085,0.00375574352168791511,0.796244256478312085,True,0.000152315767811925958,1,67,0.00110498031705345525,right,74920.8274989940000,99649.0239701530000,see Odlyzko table accuracy note
first_100k,82552,82553,1.25,0,63137.2115328870000,63137.2323823880000,14.1347251420000000,74920.8274989940000,0.0208495010000000000,63123.0768077450000,11783.5951166060000,10.4844472534283200,0.00455760696021534718,1.80571474182973203e-9,0.000329050133784127094,0.000329051939498868924,10.4847763053678189,0.00455774999965018644,0.795442250000349814,True,0.0000313847675080125848,1,383,0.0000636469374653272152,right,74920.8274989940000,77866.7262781455000,see Odlyzko table accuracy note
first_100k,82552,82553,1.5,0,63137.2115328870000,63137.2323823880000,14.1347251420000000,74920.8274989940000,0.0208495010000000000,63123.0768077450000,11783.5951166060000,10.4844472534283200,0.00455760696021534718,1.80571474182973203e-9,0.000394932016600698554,0.000394933822315440384,10.4848421872506354,0.00455777863861611559,0.795442221361383884,True,0.0000376685401499159218,1,214,0.000127421539258276094,right,74920.8274989940000,80812.6250572970000,see Odlyzko table accuracy note
first_100k,82552,82553,2.0,0,63137.2115328870000,63137.2323823880000,14.1347251420000000,74920.8274989940000,0.0208495010000000000,63123.0768077450000,11783.5951166060000,10.4844472534283200,0.00455760696021534718,1.80571474182973203e-9,0.000527438039642829756,0.000527439845357571586,10.4849746932736776,0.00455783623920852544,0.795442163760791475,True,0.0000503068814796224473,1,128,0.000255700770296696526,right,74920.8274989940000,86704.4226156000000,see Odlyzko table accuracy note
first_100k,82552,82553,4.0,0,63137.2115328870000,63137.2323823880000,14.1347251420000000,74920.8274989940000,0.0208495010000000000,63123.0768077450000,11783.5951166060000,10.4844472534283200,0.00455760696021534718,1.80571474182973203e-9,0.00106419342279393524,0.00106419522850867707,10.4855114486568287,0.00455806956768174395,0.795441930432318256,True,0.000101502273108455460,1,66,0.000777451323654749255,right,74920.8274989940000,110271.612848812000,see Odlyzko table accuracy note
around_1e21,1000000000000000001635,1000000000000000001636,1.25,144176897509546973000,768.840428760000000,768.845728880000000,538.498069620000000,1947.74231109000000,0.00530012000000000000,230.342359140000000,1178.89658221000000,205.659941317591430,0.00577724935401800240,0.0788425429730526595,0.0151161378344179097,0.0939586808074705692,205.753899998398901,0.00577988877287867924,0.794220111227121321,True,0.000456864278991378246,184,393,0.0160623837208120889,left,1.44176897509546973e+20,1.44176897509546974e+20,around_1e21 data are stated by Odlyzko as not guaranteed/probably accurate to 1e-6
around_1e21,1000000000000000001635,1000000000000000001636,1.5,144176897509546973000,768.840428760000000,768.845728880000000,538.498069620000000,1947.74231109000000,0.00530012000000000000,230.342359140000000,1178.89658221000000,205.659941317591430,0.00577724935401800240,0.0935965293401443150,0.0181006339996251097,0.111697163339769425,205.771638480931199,0.00578038706941661673,0.794219612930583383,True,0.000543115798945408146,102,220,0.0314631890561585876,left,1.44176897509546973e+20,1.44176897509546974e+20,around_1e21 data are stated by Odlyzko as not guaranteed/probably accurate to 1e-6
